"text","sentiment"
"i received the olympus e300 evolt for christmas and i am extremely happy with the cameras performance","Very Positive"
"while newer cameras like the d90 and up into the way more expensive professional models current in 2010 have technically better image quality the d50 is kind of like a digital holga for me as any good photographer knows megapixels dont mean jack sh beyond getting somewhat more detail in huge printsa medium format film camera doesnt take inherently better images than a 35mm film camera unless there is an objective goal of more detail in the final large print","Very Positive"
"its reliable and simple to use and unlike the very newest nikon cameras d40 d60 etc it will focus with the older screw drive autofocus lenses","Very Positive"
"switching to the nikon d50 was like going from a horse and buggy to a ferrari","Neutral"
"this lens one of the best you can ever get for your nikon digital or film and although fullyfunctional on the nikon d50 i will not auto focus on d40x","Negative"
"so long story short i was in desperate need of and long overdue for some more control over my picture taking and i found it in the nikon d50","Very Negative"
"note that this capability is not possible with the nikon d40 because the d40 does not have an internal autofocus motor which is necessary for all but the newest lenses","Neutral"
"i have many photographer friends who use the more expensive canon 20d and they have all been impressed by this cameras point and shoot auto program capabilities","Very Negative"
"a new d40 has been announced over the past few days but its lack of an lcd display and buttons to manage basic camera controls to reduce weight and make it more user friendly would still make this my recommended nikon dslr","Very Positive"
"i never had a digital slr before the camera i had before the d50 was a nikon coolpix a compact one","Neutral"
"the nikon d50 is the companys entrylevel digital slr with a lot to like including simplified operation improved high iso performance and lots of features for one of the lowest prices of any camera in this class","Very Positive"
"br first of all it was less expensive though it seemed to miss some features that the canon or nikon d70s had but that i considered to be of minor importance to me","Very Negative"
"so my first digital camera was the kodak easy share which is a great point and shoot camera but i wanted something more challenging in digital photography so i decided to try the nikon d50 which i feel in love with it the moment i was able to take my first photograph with it","Very Positive"
"the nikon d50 was one of the few items i have ever bought where i went in somewhat skeptical and wound up being pleased more than i could imagine","Very Negative"
"br i would say instead of getting a d70 and an 1870 get a d50 and one of those swank 18200s from nikon which is totally cool although you will wait for the 18200 do not get a sigma or tamron","Negative"
"br so the conclusion is i cant see any better value then nikon d50 nikon 18200 lense","Positive"
"i purchased a nikon d50 almost as an impulse when i saw the price and was prepared to be disappointed","Neutral"
"all in all we are very dissapointed with nikon d50","Very Negative"
"the lens is 1855mm and i bought somes lenses that is nikon 50mm f18 nikon 85mm f18 and nikon 70300mmg which is very cheap and i would buy for my next lens is 1224mm i think my lens already completed","Very Negative"
"this is a really great camera for the enthusiastic amateur who does not want to stop and figure out f stops depth of field etc thus the d50 offers the photographer an alternative to pointandshoot cameras which also provide computerized exposure modes but it has more advanced electronics than most of them and most importantly it can utilize professional quality nikon lenses to which the lenses on most pocket cameras cannot really compare","Negative"
"just a quick note on this camera i investigated this camera as well as the canon d20 and the nikon d70 for about two months before i decided to buy it but now that i have it i couldnt be happier","Very Positive"
"if you have nikon already the d50 is great and you can probably use most if not all of your existing lenses on this body","Neutral"
"br once i made up my mind to buy a nikon i compared the d70 to the d50","Negative"
"unless you are so experienced that you do not have to read a manual and im not i highly recommend you invest in a copy magic lantern guides nikon d50 by simon stafford","Negative"
"but but in the end i decided to get the d50 instead on the grounds that the nikon d50 body is better built and more pleasant to shoot with and has better noise performance at high iso","Very Positive"
"the d70s is more expensive but has a couple of newer features than the d70 as far as taking pictures goes the d70 and d70s are pretty much the same camera","Positive"
"when going for the nikon d50 i had the following things in mind","Neutral"
"br the nikon d50 gives you all this plus a lot more it starts up in no time it is silent battery autonomy is ok it is speedy and takes at least 25 fps in full res","Neutral"
"br i had a hard time figuring out the key differences between the nikon d70 and d50","Negative"
"i had been looking into buying a dslr for a few months and spent much of my time ponderingthe nikon d70 and the pentax ist ds for some reason i just sort of thought of the nikon d50 as the d70s cheap little brother boy was i wrong","Very Negative"
"we own a nikon d100 and lots of lenses but she found the d100 too complicated","Neutral"
"i also have a nikon d100 digital camera and the d50 is about equal in quality to the more expensive camera","Very Negative"
"while newer cameras like the d90 and up into the way more expensive professional models current in 2010 have technically better image quality the d50 is kind of like a digital holga for me as any good photographer knows megapixels dont mean jack sh beyond getting somewhat more detail in huge printsa medium format film camera doesnt take inherently better images than a 35mm film camera unless there is an objective goal of more detail in the final large print","Very Positive"
"its reliable and simple to use and unlike the very newest nikon cameras d40 d60 etc it will focus with the older screw drive autofocus lenses","Very Positive"
"switching to the nikon d50 was like going from a horse and buggy to a ferrari","Neutral"
"this lens one of the best you can ever get for your nikon digital or film and although fullyfunctional on the nikon d50 i will not auto focus on d40x","Negative"
"so long story short i was in desperate need of and long overdue for some more control over my picture taking and i found it in the nikon d50","Very Negative"
"note that this capability is not possible with the nikon d40 because the d40 does not have an internal autofocus motor which is necessary for all but the newest lenses","Neutral"
"i have many photographer friends who use the more expensive canon 20d and they have all been impressed by this cameras point and shoot auto program capabilities","Very Negative"
"a new d40 has been announced over the past few days but its lack of an lcd display and buttons to manage basic camera controls to reduce weight and make it more user friendly would still make this my recommended nikon dslr","Very Positive"
"i never had a digital slr before the camera i had before the d50 was a nikon coolpix a compact one","Neutral"
"the nikon d50 is the companys entrylevel digital slr with a lot to like including simplified operation improved high iso performance and lots of features for one of the lowest prices of any camera in this class","Very Positive"
"br first of all it was less expensive though it seemed to miss some features that the canon or nikon d70s had but that i considered to be of minor importance to me","Very Negative"
"so my first digital camera was the kodak easy share which is a great point and shoot camera but i wanted something more challenging in digital photography so i decided to try the nikon d50 which i feel in love with it the moment i was able to take my first photograph with it","Very Positive"
"the nikon d50 was one of the few items i have ever bought where i went in somewhat skeptical and wound up being pleased more than i could imagine","Very Negative"
"br i would say instead of getting a d70 and an 1870 get a d50 and one of those swank 18200s from nikon which is totally cool although you will wait for the 18200 do not get a sigma or tamron","Negative"
"br so the conclusion is i cant see any better value then nikon d50 nikon 18200 lense","Positive"
"i purchased a nikon d50 almost as an impulse when i saw the price and was prepared to be disappointed","Neutral"
"all in all we are very dissapointed with nikon d50","Very Negative"
"the lens is 1855mm and i bought somes lenses that is nikon 50mm f18 nikon 85mm f18 and nikon 70300mmg which is very cheap and i would buy for my next lens is 1224mm i think my lens already completed","Very Negative"
"this is a really great camera for the enthusiastic amateur who does not want to stop and figure out f stops depth of field etc thus the d50 offers the photographer an alternative to pointandshoot cameras which also provide computerized exposure modes but it has more advanced electronics than most of them and most importantly it can utilize professional quality nikon lenses to which the lenses on most pocket cameras cannot really compare","Negative"
"just a quick note on this camera i investigated this camera as well as the canon d20 and the nikon d70 for about two months before i decided to buy it but now that i have it i couldnt be happier","Very Positive"
"i think that this would have been included but it is not","Negative"
"i purchased this camera as a novice user wanting to learn more","Very Negative"
"i find that i use manual mode and auto equally in order to make sure i have the picture","Positive"
"makes you feel like you know what your doing","Positive"
"this is my first dslr camera","Neutral"
"i ordered the xt with the efs 1855mm 3556 is lens for only around 180","Neutral"
"after buying the 4 gb sandisk cf card i spent less than 700 total","Very Negative"
"a few years ago i would only be a able to buy a highend point and shoot camera","Negative"
"for traveling even fits in my backpack with my 1855mm is attached","Neutral"
"1600 is ok","Neutral"
"monochrome lcd display","Negative"
"for starting out in dslr photography and hotshoe for future external flash","Neutral"
"and focus point display in viewfinder","Positive"
"br custom functions allow some tweaking","Positive"
"i wish the shortcut buttons just toggle through the settings and that i could see the resulting changes on the monochrome lcd","Neutral"
"is too firm to easily rotate","Neutral"
"this is the first digital camera after using a canon slr rebel for years","Very Negative"
"i had been looking for a long time","Neutral"
"its purely a matter of taste when choosing between the four major players sony nikon","Very Positive"
"it has gone all over the world with me japan singapore mexico us london germany etc","Neutral"
"used it once and its okay so i give the same rating","Negative"
"i bought the camera for my trip to palm springs","Neutral"
"i havent found anything i dont like about this camera","Very Positive"
"the camera does not come with a memory card so you do have to buy that separatelyjust know that so you can get that before your camera arrives","Negative"
"he usado antes camaras canon y son muy buenas pero esta es una buena opcion para quienes inician en la fotografia profesional o fotografos mas avanzados","Negative"
"tiene 5 puntos de enfoque que se pueden manipular para lograr efectos muy buenos y una rafaga de disparos continuos de unos 12 disparos en unos 2a3 seg","Neutral"
"como detalle tambien les aclaro que el lente efs 1855 que trae se queda corto para hacer acercamientos entonces tengan por seguro que tendran que adquirir otro lente","Neutral"
"otras baterias tambien son otra buena opcion para comprar puesto que si usan mucho el screen para revisar las fotografias se consumen bastante rapido","Neutral"
"bueno la verdad yo si la recomiendo","Neutral"
"it is only for review","Neutral"
"id suggest the canon 50mm f18 of f14 because with the kit lens you really wont be able to do much indoors","Negative"
"i purchased this camera on a whim because i thought that id like to dabble in photography a bit","Neutral"
"br also consider shooting in raw format for you budding photographers because then you can go into photoshop and really see the full potential of a photograph","Neutral"
"br also check out httpwwwusacanoncomcontentrebelxttutorialrebelxtlessonshtm","Neutral"
"the basic info on f stops exposure white balance and much more","Very Positive"
"telescopic ones cost more and after buying a 500 dollar camera with a 60 dollar memory card and a 100 dollar tripod im kind of wiped out","Very Positive"
"ive wanted to purchase the canon digital rebel xt for more than 6 months and had been keeping my eye on the prices from both local and web stores","Very Negative"
"the camera arrived on time and in new unopend condition as advertised","Positive"
"but i purchased another xt to replace my wifes camera which was a canon 570","Negative"
"i paid can 1100 for my xt body in may of 2005 and now you can buy it with 1855 lens for 450","Neutral"
